Ano	Numero_de_Transistores
1.970000000000000000e+03	5.360000000000000000e+03
1.971000000000000000e+03	2.250000000000000000e+03
1.971000000000000000e+03	3.078000000000000000e+03
1.972000000000000000e+03	3.500000000000000000e+03
1.973000000000000000e+03	2.500000000000000000e+03
1.973000000000000000e+03	1.100000000000000000e+04
1.974000000000000000e+03	3.000000000000000000e+03
1.974000000000000000e+03	4.100000000000000000e+03
1.974000000000000000e+03	6.000000000000000000e+03
1.974000000000000000e+03	8.000000000000000000e+03
1.975000000000000000e+03	4.528000000000000000e+03
1.975000000000000000e+03	4.000000000000000000e+03
1.975000000000000000e+03	5.000000000000000000e+03
1.976000000000000000e+03	5.000000000000000000e+03
1.976000000000000000e+03	8.500000000000000000e+03
1.976000000000000000e+03	6.500000000000000000e+03
1.976000000000000000e+03	8.000000000000000000e+03
1.977000000000000000e+03	7.000000000000000000e+03
1.978000000000000000e+03	9.000000000000000000e+03
1.978000000000000000e+03	2.900000000000000000e+04
1.979000000000000000e+03	1.750000000000000000e+04
1.979000000000000000e+03	2.900000000000000000e+04
1.979000000000000000e+03	6.800000000000000000e+04
1.980000000000000000e+03	5.000000000000000000e+04
1.981000000000000000e+03	1.150000000000000000e+04
1.981000000000000000e+03	4.500000000000000000e+04
1.982000000000000000e+03	5.500000000000000000e+04
1.982000000000000000e+03	1.340000000000000000e+05
1.983000000000000000e+03	2.200000000000000000e+04
1.984000000000000000e+03	6.300000000000000000e+04
1.984000000000000000e+03	1.900000000000000000e+05
1.985000000000000000e+03	2.750000000000000000e+05
1.985000000000000000e+03	2.500000000000000000e+04
1.985000000000000000e+03	1.600000000000000000e+04
1.986000000000000000e+03	1.100000000000000000e+05
1.986000000000000000e+03	3.750000000000000000e+05
1.986000000000000000e+03	2.700000000000000000e+04
1.986000000000000000e+03	9.100000000000000000e+04
1.987000000000000000e+03	3.850000000000000000e+05
1.987000000000000000e+03	7.300000000000000000e+05
1.987000000000000000e+03	2.730000000000000000e+05
1.987000000000000000e+03	5.530000000000000000e+05
1.988000000000000000e+03	1.800000000000000000e+05
1.988000000000000000e+03	2.500000000000000000e+05
1.989000000000000000e+03	6.000000000000000000e+05
1.989000000000000000e+03	1.000000000000000000e+06
1.989000000000000000e+03	1.180235000000000000e+06
1.989000000000000000e+03	3.100000000000000000e+05
1.990000000000000000e+03	6.900000000000000000e+06
1.990000000000000000e+03	1.200000000000000000e+06
1.991000000000000000e+03	1.350000000000000000e+06
1.991000000000000000e+03	3.500000000000000000e+04
1.992000000000000000e+03	6.000000000000000000e+05
1.992000000000000000e+03	9.000000000000000000e+05
1.992000000000000000e+03	1.680000000000000000e+06
1.993000000000000000e+03	2.800000000000000000e+06
1.993000000000000000e+03	3.100000000000000000e+06
1.993000000000000000e+03	2.303700000000000000e+07
1.994000000000000000e+03	5.789770000000000000e+05
1.994000000000000000e+03	7.000000000000000000e+03
1.994000000000000000e+03	2.500000000000000000e+06
1.994000000000000000e+03	2.800000000000000000e+06
1.994000000000000000e+03	1.600000000000000000e+06
1.995000000000000000e+03	2.600000000000000000e+06
1.995000000000000000e+03	9.300000000000000000e+06
1.995000000000000000e+03	2.500000000000000000e+06
1.995000000000000000e+03	5.500000000000000000e+06
1.995000000000000000e+03	3.800000000000000000e+06
1.996000000000000000e+03	9.660000000000000000e+06
1.996000000000000000e+03	4.300000000000000000e+06
1.997000000000000000e+03	7.500000000000000000e+06
1.997000000000000000e+03	8.800000000000000000e+06
1.997000000000000000e+03	1.500000000000000000e+04
1.997000000000000000e+03	4.800000000000000000e+04
1.998000000000000000e+03	7.500000000000000000e+06
1.998000000000000000e+03	1.520000000000000000e+07
1.998000000000000000e+03	5.700000000000000000e+06
1.998000000000000000e+03	3.200000000000000000e+06
1.999000000000000000e+03	1.110000000000000000e+05
1.999000000000000000e+03	9.500000000000000000e+06
1.999000000000000000e+03	1.050000000000000000e+07
1.999000000000000000e+03	2.740000000000000000e+07
1.999000000000000000e+03	2.130000000000000000e+07
1.999000000000000000e+03	2.200000000000000000e+07
2.000000000000000000e+03	2.100000000000000000e+07
2.000000000000000000e+03	2.100000000000000000e+07
2.000000000000000000e+03	4.200000000000000000e+07
2.001000000000000000e+03	1.910000000000000000e+08
2.001000000000000000e+03	4.500000000000000000e+07
2.002000000000000000e+03	5.500000000000000000e+07
2.002000000000000000e+03	2.200000000000000000e+08
2.003000000000000000e+03	1.520000000000000000e+08
2.003000000000000000e+03	5.430000000000000000e+07
2.003000000000000000e+03	1.059000000000000000e+08
2.003000000000000000e+03	7.700000000000000000e+07
2.003000000000000000e+03	4.100000000000000000e+08
2.003000000000000000e+03	5.350000000000000000e+07
2.004000000000000000e+03	1.120000000000000000e+08
2.004000000000000000e+03	1.440000000000000000e+08
2.004000000000000000e+03	4.000000000000000000e+08
2.004000000000000000e+03	5.920000000000000000e+08
2.005000000000000000e+03	1.690000000000000000e+08
2.005000000000000000e+03	2.280000000000000000e+08
2.005000000000000000e+03	1.650000000000000000e+08
2.005000000000000000e+03	2.500000000000000000e+08
2.006000000000000000e+03	1.840000000000000000e+08
2.006000000000000000e+03	3.620000000000000000e+08
2.006000000000000000e+03	2.910000000000000000e+08
2.006000000000000000e+03	1.700000000000000000e+09
2.007000000000000000e+03	4.630000000000000000e+08
2.007000000000000000e+03	2.600000000000000000e+07
2.007000000000000000e+03	4.110000000000000000e+08
2.007000000000000000e+03	7.890000000000000000e+08
2.007000000000000000e+03	1.690000000000000000e+08
2.007000000000000000e+03	2.500000000000000000e+08
2.007000000000000000e+03	5.400000000000000000e+08
2.008000000000000000e+03	2.300000000000000000e+08
2.008000000000000000e+03	7.310000000000000000e+08
2.008000000000000000e+03	7.580000000000000000e+08
2.008000000000000000e+03	4.700000000000000000e+07
2.008000000000000000e+03	6.000000000000000000e+08
2.008000000000000000e+03	1.900000000000000000e+09
2.009000000000000000e+03	9.040000000000000000e+08
2.009000000000000000e+03	7.600000000000000000e+08
2.010000000000000000e+03	1.230000000000000000e+08
2.010000000000000000e+03	1.760000000000000000e+08
2.010000000000000000e+03	1.000000000000000000e+09
2.010000000000000000e+03	1.170000000000000000e+09
2.010000000000000000e+03	1.200000000000000000e+09
2.010000000000000000e+03	1.400000000000000000e+09
2.010000000000000000e+03	2.000000000000000000e+09
2.010000000000000000e+03	2.300000000000000000e+09
2.011000000000000000e+03	1.870000000000000000e+09
2.011000000000000000e+03	1.160000000000000000e+09
2.011000000000000000e+03	2.270000000000000000e+09
2.011000000000000000e+03	2.600000000000000000e+09
2.012000000000000000e+03	4.320000000000000000e+08
2.012000000000000000e+03	2.990000000000000000e+09
2.012000000000000000e+03	1.200000000000000000e+09
2.012000000000000000e+03	1.303000000000000000e+09
2.012000000000000000e+03	1.400000000000000000e+09
2.012000000000000000e+03	2.100000000000000000e+09
2.012000000000000000e+03	2.750000000000000000e+09
2.012000000000000000e+03	3.100000000000000000e+09
2.012000000000000000e+03	5.000000000000000000e+09
2.013000000000000000e+03	1.000000000000000000e+09
2.013000000000000000e+03	1.860000000000000000e+09
2.013000000000000000e+03	4.200000000000000000e+09
2.013000000000000000e+03	5.000000000000000000e+09
2.014000000000000000e+03	1.400000000000000000e+09
2.014000000000000000e+03	2.000000000000000000e+09
2.014000000000000000e+03	2.600000000000000000e+09
2.014000000000000000e+03	3.000000000000000000e+09
2.014000000000000000e+03	4.310000000000000000e+09
2.014000000000000000e+03	5.560000000000000000e+09
2.015000000000000000e+03	1.750000000000000000e+09
2.015000000000000000e+03	1.900000000000000000e+09
2.015000000000000000e+03	2.000000000000000000e+09
2.015000000000000000e+03	3.000000000000000000e+09
2.015000000000000000e+03	3.990000000000000000e+09
2.015000000000000000e+03	7.100000000000000000e+09
2.015000000000000000e+03	1.000000000000000000e+10
2.016000000000000000e+03	3.200000000000000000e+09
2.016000000000000000e+03	3.300000000000000000e+09
2.016000000000000000e+03	4.000000000000000000e+09
2.016000000000000000e+03	7.200000000000000000e+09
2.016000000000000000e+03	8.000000000000000000e+09
2.016000000000000000e+03	3.000000000000000000e+09
2.017000000000000000e+03	4.300000000000000000e+09
2.017000000000000000e+03	1.400000000000000000e+09
2.017000000000000000e+03	4.800000000000000000e+09
2.017000000000000000e+03	4.800000000000000000e+09
2.017000000000000000e+03	6.100000000000000000e+09
2.017000000000000000e+03	9.700000000000000000e+09
2.017000000000000000e+03	5.500000000000000000e+09
2.017000000000000000e+03	7.000000000000000000e+09
2.017000000000000000e+03	8.000000000000000000e+09
2.017000000000000000e+03	7.100000000000000000e+09
2.017000000000000000e+03	8.000000000000000000e+09
2.017000000000000000e+03	2.500000000000000000e+08
2.017000000000000000e+03	5.450000000000000000e+09
2.017000000000000000e+03	4.300000000000000000e+09
2.017000000000000000e+03	1.800000000000000000e+10
2.017000000000000000e+03	1.920000000000000000e+10
2.017000000000000000e+03	5.300000000000000000e+09
2.017000000000000000e+03	5.300000000000000000e+09
2.018000000000000000e+03	5.500000000000000000e+09
2.018000000000000000e+03	6.900000000000000000e+09
2.018000000000000000e+03	6.900000000000000000e+09
2.018000000000000000e+03	8.500000000000000000e+09
2.018000000000000000e+03	1.000000000000000000e+10
2.018000000000000000e+03	8.786000000000000000e+09
2.018000000000000000e+03	9.000000000000000000e+09
2.018000000000000000e+03	6.700000000000000000e+09
2.019000000000000000e+03	4.750000000000000000e+08
2.019000000000000000e+03	1.900000000000000000e+09
2.019000000000000000e+03	3.800000000000000000e+09
2.019000000000000000e+03	2.090000000000000000e+09
2.019000000000000000e+03	8.340000000000000000e+09
2.019000000000000000e+03	9.800000000000000000e+09
2.019000000000000000e+03	5.990000000000000000e+09
2.019000000000000000e+03	8.000000000000000000e+09
2.019000000000000000e+03	8.500000000000000000e+09
2.019000000000000000e+03	9.200000000000000000e+09
2.019000000000000000e+03	1.220000000000000000e+10
2.019000000000000000e+03	9.890000000000000000e+09
2.019000000000000000e+03	1.030000000000000000e+10
2.019000000000000000e+03	3.000000000000000000e+10
2.019000000000000000e+03	3.954000000000000000e+10
2.019000000000000000e+03	1.030000000000000000e+10
2.020000000000000000e+03	3.500000000000000000e+09
2.020000000000000000e+03	1.180000000000000000e+10
2.020000000000000000e+03	1.600000000000000000e+10
2.020000000000000000e+03	1.530000000000000000e+10
2.020000000000000000e+03	4.080000000000000000e+09
2.020000000000000000e+03	4.150000000000000000e+09
2.021000000000000000e+03	6.000000000000000000e+09
2.021000000000000000e+03	1.070000000000000000e+10
2.021000000000000000e+03	1.500000000000000000e+10
2.021000000000000000e+03	3.370000000000000000e+10
2.021000000000000000e+03	5.700000000000000000e+10
2.021000000000000000e+03	3.600000000000000000e+10
2.021000000000000000e+03	1.530000000000000000e+10
2.022000000000000000e+03	1.600000000000000000e+10
2.022000000000000000e+03	1.140000000000000000e+11
2.022000000000000000e+03	4.500000000000000000e+10
2.022000000000000000e+03	2.000000000000000000e+10
2.022000000000000000e+03	1.700000000000000000e+10
2.022000000000000000e+03	1.600000000000000000e+10
2.022000000000000000e+03	9.000000000000000000e+10
2.023000000000000000e+03	9.510000000000000000e+09
2.024000000000000000e+03	2.800000000000000000e+10
2.023000000000000000e+03	2.500000000000000000e+10
2.023000000000000000e+03	3.700000000000000000e+10
2.023000000000000000e+03	9.200000000000000000e+10
2.023000000000000000e+03	1.900000000000000000e+10
2.023000000000000000e+03	4.400000000000000000e+10
2.023000000000000000e+03	4.000000000000000000e+10
2.023000000000000000e+03	6.700000000000000000e+10
2.023000000000000000e+03	1.340000000000000000e+11
2.023000000000000000e+03	8.200000000000000000e+10
2.023000000000000000e+03	1.460000000000000000e+11
